('Real time:', '2022-07-01 08:31:19')
(1669068193.0, 89.89462809917356)
(1669154131.5, 90.09824561403508)
(1669239699.5, 89.90708333333333)
(1669257660.0, 89.96209677419355)
(1669275701.5, 89.98197278911564)
(1669278521.0, 90.00073529411765)
(1669281200.5, 90.18266129032259)
(1669283757.5, 90.06559999999999)
(1669286315.5, 90.15321100917431)
(1669289061.5, 90.20546875000001)
(1669291815.5, 90.02678571428571)
(1669294577.0, 89.8851851851852)
(1669297603.5, 89.96512605042017)
(1669331965.5, 90.10454545454544)
(1669366101.0, 90.01640625)
(1669369159.5, 90.11093749999999)
(1669372200.5, 90.14173913043479)
(1669374835.5, 90.19901960784314)
(1669378154.0, 90.15232558139535)
(1669381474.5, 90.0856)
(1669403854.0, 89.98461538461538)
(1669426256.5, 90.04639999999999)
(1669428947.0, 90.01076923076923)
(1669431670.0, 90.07826086956521)
(1669434385.5, 90.01809523809524)
(1669437077.5, 90.09076923076923)
(1669439811.0, 90.1467213114754)
(1669442562.0, 90.10294117647058)
(1669445298.0, 90.19396551724138)
(1669448092.0, 90.0703125)
(1669451027.0, 90.17366071428572)
(1669454095.5, 90.20833333333334)
(1669457387.0, 90.15477941176471)
(1669460854.5, 90.17522935779817)
(1669464488.5, 90.13130841121495)
(1669468330.0, 90.18233082706767)
(1669472639.5, 90.21081081081081)
(1669477291.5, 90.15)
(1669492732.0, 90.06317829457365)
(1669507246.0, 90.06422018348623)
(1669509977.5, 90.16455223880597)
(1669512683.0, 90.19166666666666)
(1669515402.0, 90.1440594059406)
(1669518120.5, 90.23045112781955)
(1669520819.0, 90.23333333333333)
(1669524481.5, 90.13636363636364)
(1669528144.0, 90.17204724409449)
(1669530952.0, 90.20573770491804)
(1669533928.0, 90.2104347826087)
(1669562937.0, 90.17909836065574)
(1669591794.5, 90.13066037735848)
(1669594778.5, 90.2118320610687)
(1669597749.0, 90.02241379310345)
(1669600477.5, 90.16792452830188)
(1669603195.0, 90.17481751824818)
(1669605969.5, 90.14214285714286)
(1669608902.0, 90.2604)
(1669912805.5, 90.20375)
(1682541834.5, 89.80853658536587)
(1682785856.5, 89.87923076923077)
(1682807108.5, 89.88211382113822)
(1682834417.5, 89.86391304347826)
(1682866716.5, 89.96492537313434)
(1682892779.5, 89.91098484848486)
(1682993547.0, 89.92591240875913)
(1683083739.5, 89.92692307692307)
(1683089023.0, 89.9636)
(1683094461.5, 90.03863636363636)
(1683193398.5, 89.86910569105692)
(1683297008.5, 89.98384615384616)
(1683315784.0, 89.89395161290324)
(1683338299.0, 89.9890625)
(1683352170.0, 89.94516129032259)
(1683357470.0, 89.94346153846155)
(1683368491.5, 89.88589743589745)
(1683379161.5, 89.92137096774194)
(1683389305.5, 89.968359375)
(1683399609.5, 89.99420289855072)
(1683404689.0, 89.98980582524273)
(1683409896.5, 90.00871559633028)
(1683415066.5, 89.93636363636364)
(1683420271.0, 89.9388888888889)
(1683425789.0, 90.01434426229508)
(1683437057.5, 89.92708333333334)
(1683447879.5, 89.888)
(1683452837.5, 89.99556451612904)
(1683457668.0, 89.9652)
(1683462394.5, 90.02298387096774)
(1683467502.0, 90.02586206896551)
(1683473073.5, 90.01692913385827)
(1683479191.5, 90.07891156462584)
(1683488753.0, 90.12932330827067)
(1683496595.0, 90.11791666666666)
(1683500006.0, 90.08658536585365)
(1683503611.0, 90.14322033898304)
(1683507254.0, 90.20943396226416)
(1683510812.5, 90.20847457627119)
(1683548071.5, 90.08097345132742)
(1683585607.0, 89.81487603305786)
(1683589389.5, 89.8344696969697)
(1683592673.5, 89.81880733944955)
(1683595522.5, 89.82894736842107)
(1683598403.5, 89.85176991150443)
(1683601288.5, 89.83076923076923)
(1683604413.0, 89.86129032258066)
(1683607663.0, 89.91352459016395)
(1683610822.0, 90.0188596491228)
(1683614367.5, 89.92173913043479)
(1683618107.5, 89.92436974789916)
(1683621774.5, 89.968)
(1683637013.5, 89.8470297029703)
(1683652280.5, 89.85655737704919)
(1683655721.0, 89.9353146853147)
(1683659007.0, 89.9589430894309)
(1683662325.0, 89.86682692307693)
(1683665664.0, 89.81666666666668)
(1683669201.5, 89.93148148148148)
(1683672871.0, 89.85118110236222)
(1683676787.0, 89.97168141592921)
(1683685954.0, 89.96357142857143)
(1683695016.0, 89.88533834586467)
(1683698536.5, 89.9323076923077)
(1683701607.0, 89.95854700854701)
(1683704570.0, 89.99354838709678)
(1683707716.5, 89.9724409448819)
(1683711028.5, 89.99806201550388)
(1683714543.5, 90.11351351351351)
(1683718493.5, 90.01881188118811)
(1683734397.5, 89.86678832116789)
(1683750351.5, 89.8271551724138)
(1683754125.5, 89.93908045977012)
(1683757230.5, 89.95042735042735)
(1683760309.5, 89.99027777777778)
(1683763628.0, 89.9770642201835)
(1683767208.5, 89.9559633027523)
(1683771004.0, 89.92406015037595)
(1683787185.0, 90.03062015503876)
(1683802725.5, 89.9025925925926)
(1683805403.0, 90.00840336134453)
(1683808184.5, 90.025)
(1683811179.5, 89.98275862068965)
(1683814181.5, 89.92640845070423)
(1683817086.0, 90.10375939849624)
(1683820156.5, 89.93063063063063)
(1683823399.5, 89.99080000000001)
(1683826842.0, 90.06468253968254)
(1683830486.5, 89.99939024390244)
(1683868622.5, 89.94421487603306)
(1683906177.5, 89.97834645669292)
(1683908600.0, 89.89807692307693)
(1683910900.0, 89.96666666666667)
(1683914688.0, 89.98106796116505)
(1683918582.0, 89.99153225806451)
(1683921089.0, 89.96409090909091)
(1683923654.5, 90.03145161290323)
(1683926357.0, 89.91030534351145)
(1683929144.5, 89.93833333333333)
(1683932075.0, 89.99772727272727)
(1683935208.5, 89.97013422818792)
(1683938517.5, 90.02321428571429)
(1683941999.0, 90.10909090909091)
(1683946247.0, 90.05757575757575)
(1684005695.5, 89.91050420168068)
(1684063912.0, 89.86215277777778)
(1684066277.5, 89.9459349593496)
(1684068541.5, 89.90393700787402)
(1684070794.5, 89.90555555555557)
(1684073304.0, 89.79747474747475)
(1684075851.5, 89.78893805309735)
(1684078233.5, 89.79112903225807)
(1684080769.0, 89.74513274336284)
(1684083461.5, 89.78885135135137)
(1684086271.0, 89.77619047619048)
(1684089198.0, 89.8159090909091)
(1684092290.5, 89.92217741935484)
(1684095597.5, 89.98428571428572)
(1684099148.0, 90.01351351351352)
(1684115474.5, 90.01808510638298)
(1684131568.5, 89.96680327868853)
(1684134327.0, 89.95247933884298)
(1684136623.0, 89.89404761904763)
(1684138910.0, 89.90982142857143)
(1684141228.0, 89.99770992366412)
(1684143948.5, 89.93)
(1684146660.0, 89.88676470588236)
(1684149006.5, 89.84045801526719)
(1684151416.5, 89.933203125)
(1684153932.0, 89.96186440677967)
(1684156558.5, 89.9422131147541)
(1684159308.0, 89.97708333333334)
(1684162235.0, 90.09870689655172)
(1684165362.0, 89.94618644067796)
(1684168639.5, 89.99786324786325)
(1684180432.0, 89.98991596638656)
(1684191880.5, 89.95150000000001)
(1684194332.5, 89.9327868852459)
(1684196575.5, 89.95583333333333)
(1684198808.0, 89.9746212121212)
(1684201051.5, 90.00077519379845)
(1684203339.5, 89.97899159663865)
(1684205747.0, 89.96779661016949)
(1684208201.0, 89.99328859060402)
(1684210638.5, 89.99473684210527)
(1684253411.0, 89.84716312056739)
(1684296096.0, 89.84051724137932)
(1684298372.5, 89.9263888888889)
(1684300623.5, 89.90391304347827)
(1684303455.0, 89.86666666666667)
(1684306300.0, 89.87479338842977)
(1684308613.0, 89.90198019801981)
(1684311114.5, 89.90291262135923)
(1684313884.5, 89.90263157894738)
(1684316694.5, 90.00217391304348)
(1684319492.5, 89.95833333333334)
(1684322449.5, 89.94779411764706)
(1684344442.0, 89.94296875)
(1684366140.5, 89.9155462184874)
(1684368589.0, 89.75000000000001)
(1684371387.0, 89.93270676691729)
(1684374131.0, 90.00993150684931)
(1684376570.0, 89.92125)
(1684396491.0, 89.95036764705883)
(1684417878.0, 89.86600000000001)
(1684421753.0, 89.84351145038168)
(1684424043.5, 89.89508196721312)
(1684426342.5, 89.86102941176472)
(1684428607.5, 89.93571428571428)
(1684430845.5, 89.90378151260505)
(1684433168.5, 89.8873949579832)
(1684435593.0, 89.90766129032258)
(1684438088.0, 89.9418918918919)
(1684440666.0, 90.00172413793103)
(1684443361.0, 89.96526717557252)
(1684446205.5, 90.04031007751938)
(1684449208.0, 90.00357142857143)
(1684452403.5, 90.03026315789474)
(1684455798.5, 89.96600000000001)
(1684459375.0, 90.0925)
(1684463941.5, 90.06849315068493)
(1684493241.5, 90.12941176470588)
(1684521051.0, 90.0176)
(1684523454.5, 89.98611111111111)
(1684525764.5, 90.08109243697479)
(1684528095.0, 90.06899224806202)
(1684542136.0, 90.0797619047619)
(1684556155.0, 90.00391304347826)
(1684558449.0, 90.0624060150376)
(1684560707.5, 90.0733606557377)
(1684602945.5, 89.84537037037038)
(1684645241.5, 89.84034482758622)
(1684647576.5, 89.94490740740741)
(1684649889.0, 89.89793388429753)
(1684652169.5, 89.82976190476191)
(1684654459.0, 89.88389830508476)
(1684668229.5, 89.8116788321168)
(1684682234.5, 89.74849624060151)
(1684684741.5, 89.83451327433629)
(1684706497.0, 89.8675925925926)
(1684753803.0, 89.83024193548388)
(1684781541.0, 89.74949494949496)
(1684783654.0, 89.83151260504202)
(1684785755.5, 89.82906976744187)
(1684793758.0, 89.78464912280702)
(1684802110.0, 89.81761904761906)
(1684804609.0, 89.81320754716982)
(1684806746.0, 89.78371212121213)
(1684808860.0, 89.9594262295082)
(1684810953.5, 89.89827586206897)
(1684813195.0, 89.94666666666667)
(1684815452.5, 89.92844827586207)
(1684817562.0, 89.92254098360657)
(1684819671.5, 89.96666666666667)
(1684821831.5, 89.98492063492064)
(1684824080.0, 90.00369127516778)
(1684826412.5, 89.93037037037037)
(1684828851.5, 89.98086956521739)
(1684831569.0, 89.8788617886179)
(1684834448.5, 89.9448)
(1684837308.0, 89.89172932330828)
(1684840334.0, 89.96428571428572)
(1684863704.5, 89.99454545454546)
(1684886767.0, 89.72209302325582)
(1684889330.0, 89.81065573770493)
(1684891655.0, 89.88130434782609)
(1684893726.0, 89.99491525423728)
(1684895795.5, 89.92173913043479)
(1684897867.5, 90.00909090909092)
(1684899963.5, 89.98070175438596)
(1684902038.5, 89.93636363636364)
(1684904120.0, 89.9928)
(1684906219.0, 89.94722222222222)
(1684908356.0, 89.96691176470588)
(1684910553.0, 89.97777777777777)
(1684912948.5, 90.01829268292683)
(1684915428.5, 89.99274193548388)
(1684917849.0, 90.07067669172932)
(1684920395.0, 90.02280701754385)
(1684923094.0, 90.01045454545455)
(1684925924.0, 90.09730769230768)
(1684928899.5, 90.02121212121212)
(1684932049.0, 90.04314516129033)
(1684935364.0, 90.01869158878505)
(1684944752.0, 89.97388059701493)
(1684953515.5, 89.86500000000001)
(1684955797.0, 90.10315315315314)
(1684958376.5, 89.99124087591241)
(1684960800.5, 90.07952755905511)
(1684962944.0, 90.07897196261682)
(1684965121.0, 90.02941176470588)
(1684967476.0, 90.12786259541984)
(1684969943.0, 90.03046875)
(1684972282.0, 90.1189075630252)
(1684974541.5, 90.05902777777777)
(1684976828.5, 90.08333333333333)
(1684979389.5, 90.0072)
(1684982048.5, 90.07162162162162)
(1684984678.0, 90.02038834951456)
(1684987492.5, 90.08076923076922)
(1684990451.0, 90.06478260869565)
(1685233083.5, 89.77845528455285)
(1685484723.5, 89.79323308270678)
(1685497499.0, 89.7556)
(1685562339.0, 89.83053435114505)
(1685627203.0, 89.69314516129033)
(1685631084.0, 89.69485294117648)
(1685634387.0, 89.72375000000001)
(1685637852.5, 89.68041666666667)
(1685641481.0, 89.7092741935484)
(1685655600.0, 89.74793103448276)
(1685669333.5, 89.86940298507463)
(1685672392.5, 89.82339449541286)
(1685675683.0, 89.84957264957266)
(1685679200.5, 89.9104347826087)
(1685682972.0, 89.88782608695652)
(1685687049.5, 89.93333333333334)
(1685705618.5, 89.81162790697675)
(1685724090.0, 89.78284671532847)
(1685727632.0, 89.83319327731094)
(1685730703.5, 89.89391304347826)
(1685733791.5, 89.805)
(1685736940.5, 89.90410447761195)
(1685746234.0, 89.90853658536587)
(1685755563.0, 89.86310679611651)
(1685758737.5, 89.9327731092437)
(1685761796.0, 89.88705357142858)
(1685764896.5, 89.8408695652174)
(1685768167.0, 89.91844262295082)
(1685771657.5, 89.8575)
(1685775350.0, 89.86846846846848)
(1685779324.5, 90.01834862385321)
(1685783728.5, 89.98849557522124)
(1685791970.0, 89.91390977443609)
(1685799432.0, 89.89242424242425)
(1685819877.0, 89.82297297297298)
(1685840240.0, 89.87773109243699)
(1685843061.0, 89.86666666666667)
(1685845766.0, 89.93050847457627)
(1685848459.0, 89.83577586206897)
(1685851187.0, 89.89869565217391)
(1685854056.0, 89.91008403361344)
(1685857132.5, 89.9910569105691)
(1685860386.0, 89.87919708029197)
(1685863872.0, 89.9395652173913)
(1685867648.0, 89.94159292035398)
(1685879545.0, 89.8756)
(1685890708.5, 89.77233009708739)
(1685892990.0, 89.88391304347827)
(1685895140.5, 89.82522123893806)
(1685897267.0, 90.01621621621622)
(1685910209.0, 89.99364406779661)
(1685923718.5, 89.99496124031008)
(1685926541.0, 89.9672)
(1685929068.5, 90.0077868852459)
(1685931730.0, 89.98270676691729)
(1685934557.5, 89.97439024390243)
(1685937610.5, 89.94197080291971)
(1685940827.5, 90.02738095238095)
(1685944196.0, 89.9801724137931)
(1685947795.5, 90.00084745762712)
(1685960969.0, 90.01038461538461)
(1685973634.5, 89.88385826771655)
(1685976062.5, 89.8810924369748)
(1685978207.5, 89.87268907563026)
(1685980338.0, 89.84292035398231)
(1685982500.0, 89.94956896551724)
(1685984769.5, 89.91810344827587)
(1685987185.5, 89.82877358490568)
(1685989764.5, 89.9423076923077)
(1685992480.0, 89.98608695652175)
(1685995330.5, 89.97038834951456)
(1685998346.0, 90.00357142857143)
(1686001601.0, 90.01858407079646)
(1686013851.0, 90.02455357142857)
(1686025742.5, 89.86404958677687)
(1686028156.0, 89.91785714285714)
(1686030303.5, 89.9796)
(1686032465.5, 90.0004)
(1686034642.5, 89.98333333333333)
(1686036796.0, 90.04094488188976)
(1686039083.0, 90.02869565217391)
(1686041470.5, 89.93025210084033)
(1686043868.5, 89.9624060150376)
(1686046378.0, 89.9152)
(1686048997.0, 89.9468253968254)
(1686051783.0, 89.95474137931035)
(1686055289.5, 89.98772727272727)
(1686058957.5, 89.90854700854702)
(1686062232.5, 90.00678571428571)
(1686065670.5, 90.01260869565218)
(1686069352.0, 90.02967479674797)
(1686073269.5, 89.93391304347827)
(1686077404.5, 89.9718253968254)
(1686086472.5, 89.98495575221239)
(1686094523.0, 89.99624060150376)
(1686096703.5, 89.90419847328245)
(1686098822.0, 90.00038461538462)
(1686100920.5, 89.91956521739131)
(1686103035.5, 89.94456521739131)
(1686105187.0, 89.98452380952381)
(1686107394.0, 90.03119266055046)
(1686109689.5, 90.00260416666667)
(1686112086.5, 90.03225806451613)
(1686114608.5, 89.96077586206897)
(1686117307.0, 90.00528846153846)
(1686120202.5, 89.92912621359224)
(1686123184.5, 89.96578947368421)
(1686126235.0, 89.97032520325203)
(1686156986.0, 89.97463768115942)
(1686187267.5, 89.8966911764706)
(1686189441.0, 89.91454545454546)
(1686191587.5, 89.86336206896553)
(1686193727.5, 89.89959349593497)
(1686195847.5, 89.88333333333334)
(1686197961.0, 89.94698275862069)
(1686200113.5, 89.89770114942529)
(1686202486.5, 89.90393700787402)
(1686205018.0, 89.9159090909091)
(1686207690.0, 89.90827067669173)
(1686210507.5, 89.98818181818181)
(1686213325.5, 89.93583333333333)
(1686216521.5, 90.01926229508197)
(1686219933.5, 89.91584507042253)
(1686241271.5, 89.88725490196079)
(1686262300.5, 89.88115384615385)
(1686264689.5, 89.891452991453)
(1686266809.5, 89.89586776859505)
(1686268928.5, 89.94496124031008)
(1686271030.0, 89.8927927927928)
(1686273265.0, 89.98038461538462)
(1686275608.0, 89.96447368421053)
(1686297286.0, 89.77926829268294)
(1686318880.5, 89.76440000000001)
(1686321003.0, 89.90736434108527)
(1686323096.5, 89.9261744966443)
(1686325290.0, 89.96968503937008)
(1686327493.5, 90.02739130434783)
(1686329593.5, 89.88892857142858)
(1686332482.5, 89.96653846153846)
(1686335470.0, 89.97660550458716)
(1686337854.5, 89.95252100840337)
(1686340393.5, 89.97047244094489)
(1686343053.5, 89.92500000000001)
(1686345872.5, 89.96844262295082)
(1686348876.5, 90.00363636363636)
(1686352070.0, 89.96259842519686)
(1686357168.0, 89.96870229007634)
(1686362711.5, 89.93125)
(1686374018.0, 89.8175925925926)
(1686384468.0, 89.92540983606558)
(1686386765.5, 89.85042372881357)
(1686388872.5, 89.90610687022901)
(1686390995.5, 89.9475806451613)
(1686393132.5, 89.96111111111111)
(1686395261.0, 89.83879310344828)
(1686397443.0, 89.97227272727272)
(1686399708.0, 89.97222222222223)
(1686402074.0, 90.00827067669172)
(1686404575.5, 89.97884615384615)
(1686407239.5, 89.95791666666666)
(1686410055.0, 90.06028037383177)
(1686413012.5, 90.06333333333333)
(1686416185.0, 90.05083333333333)
(1686431718.0, 89.83849557522124)
(1686446664.5, 89.89020618556701)
(1686448780.5, 89.99621212121212)
(1686450906.5, 89.92083333333333)
(1686453036.5, 89.94035087719298)
(1686455169.0, 89.91363636363637)
(1686457319.0, 90.08958333333332)
(1686459451.5, 90.0344)
(1686461664.5, 89.94353448275862)
(1686463985.5, 90.01694915254237)
(1686466377.5, 90.04160839160839)
(1686468862.5, 90.09067164179103)
(1686471487.5, 90.00990566037736)
(1686479287.5, 89.99754901960785)
(1686486823.0, 89.97456896551725)
(1686489381.0, 90.05)
(1686491920.5, 90.08185840707964)
(1686494064.5, 90.0490990990991)
(1686496221.0, 90.03425925925926)
(1686498415.0, 90.0042372881356)
(1686500599.5, 89.96863636363636)
(1686502809.0, 90.06239316239316)
(1686505127.0, 90.02956521739131)
(1686507559.0, 90.1563829787234)
(1686510075.0, 90.11353383458646)
(1686518483.5, 89.99757281553399)
(1686527148.0, 89.81446280991737)
(1686529749.5, 90.0491452991453)
(1686531895.5, 90.04094827586206)
(1686534042.5, 90.03015873015873)
(1686536178.5, 90.0864)
(1686538329.0, 90.07863636363636)
(1686540480.0, 90.09255319148936)
(1686542660.0, 90.04198113207546)
(1686544955.5, 90.03548387096774)
(1686547375.5, 90.0976923076923)
(1686549913.0, 90.07644628099173)
(1686552581.5, 90.04449152542372)
(1686555393.5, 90.18333333333334)
(1686558407.5, 90.10373134328357)
(1686592938.5, 90.03778625954199)
(1686626995.0, 89.8788617886179)
(1686629152.5, 89.93783783783785)
(1686631300.0, 89.94724770642202)
(1686633464.0, 89.975)
(1686635618.0, 90.04256198347107)
(1686637757.0, 89.99328358208955)
(1686639891.0, 90.01565217391304)
(1686642068.0, 90.0016806722689)
(1686644439.5, 90.02948717948718)
(1686948108.5, 89.92)
(1688062536.0, 89.5910569105691)
(1688278392.0, 89.4107476635514)
(1688300988.5, 89.54739130434783)
(1688317627.0, 89.61232394366196)
(1688322343.5, 89.64955357142857)
(1688326469.5, 89.66304347826087)
(1688330817.5, 89.63468468468469)
(1688340245.5, 89.72117117117118)
(1688388423.5, 89.80555555555557)
(1688431342.5, 89.87460317460318)
(1688434427.0, 89.76798245614036)
(1688436667.0, 89.74130434782609)
(1688443282.5, 89.70341880341881)
(1688450059.0, 89.71732283464567)
(1688452590.0, 89.81846153846155)
(1688455819.5, 89.7671875)
(1688459201.0, 89.83911290322581)
(1688462221.0, 89.78897637795276)
(1688465403.5, 89.84625000000001)
(1688468775.0, 89.90513698630137)
(1688472414.5, 89.86272727272728)
(1688483586.0, 89.91875)
(1688494029.0, 89.91363636363637)
(1688496266.0, 89.89272727272729)
(1688498412.0, 89.9288990825688)
(1688500545.0, 89.89345794392524)
(1688504498.0, 89.96652542372881)
(1688508589.0, 89.85038167938932)
(1688511011.5, 89.94724770642202)
(1688513543.5, 90.01048387096775)
(1688516246.5, 90.04008620689655)
(1688519094.0, 89.89959349593497)
(1688522133.5, 90.0490990990991)
(1688525396.5, 90.03896551724138)
(1688528878.0, 89.95384615384616)
(1688532595.0, 89.97051282051282)
(1688545359.0, 90.04901960784314)
(1688557480.0, 89.92416666666666)
(1688559770.0, 89.87946428571429)
(1688561857.5, 89.91620370370372)
(1688563993.5, 89.92610619469026)
(1688566097.5, 89.97130434782609)
(1688568178.0, 89.89752066115703)
(1688570323.0, 89.98543689320388)
(1688572558.5, 90.02327586206897)
(1688574913.0, 90.04568965517241)
(1688577449.5, 90.01779661016948)
(1688580077.5, 90.057421875)
(1688582781.0, 90.08170731707317)
(1688585635.0, 90.02649572649572)
(1688590395.5, 90.00833333333333)
(1688595454.0, 89.99871794871795)
(1688603376.0, 89.92172131147541)
(1688610626.5, 90.04333333333334)
(1688612746.0, 89.88608695652175)
(1688614833.5, 90.00247933884297)
(1688616933.0, 89.92745901639344)
(1688618992.0, 90.14703703703704)
(1688621051.0, 90.04738805970149)
(1688623149.5, 90.02374999999999)
(1688625246.0, 90.07556390977443)
(1688627354.0, 90.06829268292682)
(1688629556.0, 90.07387387387386)
(1688631872.5, 89.99703389830509)
(1688634277.5, 90.10201612903225)
(1688636799.0, 90.0485294117647)
(1688639466.5, 90.13837209302325)
(1688642266.5, 90.1113475177305)
(1688645218.5, 90.09144144144143)
(1688688864.0, 89.86904761904762)
(1688732023.5, 89.94921875)
(1688734109.0, 89.89529914529915)
(1688736182.5, 89.87567567567568)
(1688738250.0, 89.98350515463918)
(1688740303.0, 89.94891304347826)
(1688742343.0, 90.01696428571428)
(1688744427.0, 89.98349056603773)
(1688746526.5, 90.01422018348623)
(1688748631.5, 89.96587301587302)
(1688750788.0, 90.030078125)
(1688753058.5, 90.0298245614035)
(1688755494.0, 90.01346153846154)
(1688758039.5, 90.05263157894737)
(1688760655.5, 90.02333333333333)
(1688763422.0, 90.10089285714285)
(1688766558.5, 89.89036697247707)
(1688769861.0, 90.07043478260869)
(1688773156.0, 90.01695652173913)
(1688776645.0, 90.04370078740158)
(1688784637.0, 89.821875)
(1688792025.0, 89.42796610169492)
(1688794276.0, 89.44327731092437)
(1688796356.0, 89.4412037037037)
(1688798409.0, 89.58399999999999)
(1688800487.0, 89.54690265486725)
(1688802573.0, 89.5576)
(1688804644.0, 89.57521739130435)
(1688806714.0, 89.5904958677686)
(1688808844.5, 89.51938775510204)
(1688811754.0, 89.6375968992248)
(1688814753.5, 89.84908256880735)
(1688817201.5, 89.9075630252101)
(1688819996.0, 89.93849557522124)
(1688822902.5, 89.86935483870968)
(1688825750.0, 89.93571428571428)
(1688828745.5, 89.8436974789916)
(1688831900.0, 89.88293650793652)
(1688835250.0, 89.91830985915493)
(1688843045.5, 89.90863636363638)
(1688850181.5, 89.77047244094489)
(1688852296.0, 89.85405405405406)
(1688854400.5, 89.91434782608697)
(1688856517.5, 89.88787878787879)
(1688858630.0, 89.8548076923077)
(1688860743.0, 89.94075630252101)
(1688862917.0, 89.89057971014493)
(1688865190.0, 89.90044642857143)
(1688867607.0, 89.87945736434109)
(1688870096.5, 89.854296875)
(1688872656.5, 89.90198412698413)
(1688875403.0, 89.96940298507462)
(1688878321.0, 89.95666666666666)
(1688881384.5, 89.87723577235774)
(1688884607.0, 89.88347826086957)
(1688888018.0, 89.96071428571429)
(1688895079.0, 89.96771653543307)
(1688901785.0, 89.89488188976378)
(1688904247.5, 89.92960000000001)
(1688906344.5, 89.91411290322581)
(1688908413.5, 90.04460431654677)
(1688910493.0, 89.91772727272728)
(1688912586.0, 90.02666666666667)
(1688914672.5, 89.91071428571429)
(1688922752.0, 90.00432692307692)
(1688931186.0, 89.82030075187971)
(1688933638.0, 89.81850393700789)
(1688935706.0, 89.8877049180328)
(1688939563.0, 89.94310344827586)
(1688943446.0, 89.92884615384615)
(1688945533.0, 89.89579831932774)
(1688947671.0, 89.98791666666666)
(1688949897.5, 90.0334862385321)
(1688952235.5, 90.02118644067797)
(1688954714.5, 90.02016129032258)
(1688957332.0, 90.05575221238938)
(1688976089.0, 90.00882352941177)
(1688994696.0, 89.92500000000001)
(1688996959.0, 89.90135135135135)
(1688999121.0, 89.94692982456141)
(1689001282.5, 89.9985)
(1689003427.5, 89.91166666666668)
(1689005577.5, 89.99862385321101)
(1689007793.0, 90.0495652173913)
(1689010012.5, 89.91581632653062)
(1689029226.5, 89.84237288135594)
(1689058579.5, 89.72751937984496)
(1689070981.5, 89.77890625)
(1689073225.5, 89.77836879432625)
(1689075328.0, 89.91216216216216)
(1689077411.5, 89.87913043478261)
(1689079536.0, 89.92946428571429)
(1689081658.0, 89.9504347826087)
(1689083747.0, 90.04045801526718)
(1689085940.0, 89.93564814814815)
(1689088221.5, 89.9296875)
(1689090574.0, 90.0212)
(1689093061.5, 90.12377049180327)
(1689095651.5, 90.01929133858268)
(1689098366.5, 90.04454545454546)
(1689110311.0, 90.02403100775193)
(1689122043.5, 89.86024590163935)
(1689124272.5, 89.92500000000001)
(1689145599.5, 89.90081967213115)
(1689167145.0, 89.81756756756758)
(1689169453.5, 89.83378378378379)
(1689171546.0, 89.81949152542374)
(1689178918.0, 89.71428571428572)
(1689186487.5, 89.6719512195122)
(1689188834.0, 89.82651515151517)
(1689190951.0, 89.77117117117118)
(1689192993.5, 89.89166666666667)
(1689195052.0, 89.91268115942029)
(1689197169.5, 89.92773109243699)
(1689199311.0, 89.95)
(1689201460.5, 89.87025862068967)
(1689203667.0, 89.97933884297521)
(1689205973.0, 89.92131147540984)
(1689208358.5, 89.93416666666667)
(1689210774.5, 89.96428571428572)
(1689213356.0, 89.91507936507936)
(1689216120.0, 89.91171171171172)
(1689219010.5, 89.93714285714286)
(1689222068.0, 90.00235849056604)
(1689225266.0, 89.98086956521739)
(1689228670.0, 89.99957627118644)
(1689232337.0, 89.98516949152543)
(1689236228.5, 90.0235294117647)
(1689240369.5, 90.00189393939394)
(1689244864.5, 89.91555555555556)
(1689249771.5, 90.04703703703703)
(1689317907.0, 89.86367924528302)
(1689390989.5, 89.59566929133858)
(1689399755.5, 89.76960000000001)
(1689402094.0, 89.75384615384615)
(1689404223.0, 89.83048780487806)
(1689406361.0, 89.68531746031746)
(1689425897.5, 89.72948717948718)
(1689445438.0, 89.81106194690267)
(1689447574.5, 89.79057377049182)
(1689449666.5, 89.86574803149607)
(1689451769.5, 89.93396946564886)
(1689453874.0, 89.95751879699249)
(1689455966.0, 89.89245283018869)
(1689458051.5, 89.92596153846154)
(1689460119.0, 89.80476190476192)
(1689462254.0, 89.95046296296296)
(1689464470.5, 89.93171641791045)
(1689466765.5, 89.89619047619048)
(1689469161.5, 90.0391304347826)
(1689471674.5, 90.02290076335878)
(1689474355.5, 90.01398305084746)
(1689477783.5, 89.98632478632479)
(1689481328.0, 90.00227272727273)
(1689489838.0, 90.0508547008547)
(1689497922.5, 89.90745614035089)
(1689500058.0, 89.92033898305085)
(1689502156.0, 89.93842975206611)
(1689504272.0, 90.03495575221238)
(1689506385.5, 89.95038167938931)
(1689508472.0, 90.04612403100775)
(1689510576.5, 90.01495726495726)
(1689512692.0, 90.0030701754386)
(1689514807.0, 90.05135135135134)
(1689516955.5, 90.08467741935483)
(1689519185.5, 90.09875)
(1689521506.5, 90.11166666666666)
(1689524121.0, 90.1)
(1689526977.5, 90.05604838709677)
(1689529837.5, 90.07162162162162)
(1689532828.0, 89.96286764705883)
(1689535915.0, 90.08813559322033)
(1689542930.5, 89.88827160493828)
