('Real time:', '2022-07-01 08:31:19')
(1661031861.0, 89.75215053763442)
(1661039630.5, 89.87857142857143)
(1661042512.5, 90.01560283687944)
(1661045220.5, 89.92635658914729)
(1661048178.0, 89.9764)
(1661051390.0, 89.9828125)
(1661061340.5, 89.84400000000001)
(1661081731.0, 90.00314960629922)
(1661095562.5, 89.99774774774775)
(1661099222.5, 90.01472868217054)
(1661109068.5, 89.8046218487395)
(1661118445.0, 89.74488188976379)
(1661121221.0, 89.81428571428573)
(1661124082.0, 89.88188976377954)
(1661127206.0, 89.8315)
(1661130244.5, 89.80128205128206)
(1661133384.0, 89.86984732824428)
(1661136747.5, 89.82769230769232)
(1661140066.5, 89.82949640287771)
(1661143612.0, 89.80856164383563)
(1661147497.0, 89.72751937984496)
(1661151464.0, 89.89120000000001)
(1661155425.5, 89.73727272727274)
(1661159642.0, 89.79844961240312)
(1661164156.5, 89.82901785714287)
(1661194361.0, 89.75952380952381)
(1661223628.5, 89.70696721311475)
(1661226386.5, 89.78868613138687)
(1661229225.5, 89.78458333333334)
(1661232164.0, 89.77733812949641)
(1661235239.0, 89.76)
(1661238482.5, 89.84685314685315)
(1661241804.5, 89.87136752136753)
(1661245408.5, 89.78392857142858)
(1661249227.0, 89.78560000000002)
(1661253234.5, 89.76601562500001)
(1661557752.5, 89.85652173913044)
(1664416111.0, 89.28534482758621)
(1664566941.5, 89.72567567567567)
(1664584288.0, 89.72235772357725)
(1664591256.0, 89.76491228070176)
(1664608499.0, 89.69921875)
(1664624632.0, 89.61653846153845)
(1664628751.5, 89.75962962962964)
(1664631857.5, 89.83558558558559)
(1664635112.0, 89.94296296296297)
(1664638578.0, 89.975)
(1664642460.0, 89.91850393700788)
(1664646554.5, 89.8779069767442)
(1664650650.5, 89.83740157480315)
(1664654936.5, 89.91380597014926)
(1664659472.0, 89.8779069767442)
(1664670483.0, 89.94786324786325)
(1664680606.5, 89.78653846153847)
(1664683607.5, 89.84565217391305)
(1664686795.0, 89.89440298507463)
(1664690225.0, 89.86767241379312)
(1664693857.0, 89.88666666666667)
(1664697673.5, 89.94409722222223)
(1664701703.5, 89.92177419354839)
(1664705950.0, 90.02068965517242)
(1664710427.0, 89.94469026548673)
(1664715202.5, 89.98)
(1664731139.5, 89.98536585365854)
(1664745933.0, 90.0301724137931)
(1664748627.5, 90.01163793103449)
(1664773696.0, 90.04274193548387)
(1664798696.5, 89.77869565217392)
(1664801769.0, 89.85166666666667)
(1664804823.0, 89.91741071428572)
(1664807432.0, 90.01727272727273)
(1664810204.0, 89.98175675675675)
(1664813150.0, 89.9504854368932)
(1664816188.0, 89.99579831932773)
(1664819318.0, 90.0976)
(1664822646.5, 90.07317073170731)
(1664832756.5, 89.89256198347108)
(1664842353.5, 89.95348837209302)
(1664844893.5, 89.97761904761904)
(1664847590.0, 89.99090909090908)
(1664850358.0, 90.04745762711865)
(1664853269.0, 90.06986301369862)
(1664856407.0, 89.96678571428572)
(1664859672.5, 90.07295081967213)
(1664863054.0, 90.0188)
(1664866615.5, 90.02695652173912)
(1664870321.0, 89.99029850746268)
(1664874246.5, 89.98100775193798)
(1664878509.0, 90.04920634920634)
(1664903151.0, 89.92540322580646)
(1664926727.5, 89.96525423728814)
(1664929071.0, 90.02868852459017)
(1664931744.0, 90.02923728813559)
(1664934651.5, 90.01315789473684)
(1664937435.0, 90.01728971962616)
(1664940431.0, 89.98025210084033)
(1664943914.0, 89.99139344262295)
(1664947336.0, 89.99111111111111)
(1664950524.5, 89.9390625)
(1664975194.5, 89.95251798561151)
(1664999388.5, 89.96551724137932)
(1665027818.0, 89.93937007874015)
(1665108875.5, 89.80962962962964)
(1665163799.5, 89.79485981308412)
(1665166090.5, 89.76782608695653)
(1665168429.0, 89.69364406779661)
(1665170869.0, 89.67007874015748)
(1665173422.5, 89.64880952380952)
(1665176106.5, 89.73260869565217)
(1665178884.0, 89.64433962264151)
(1665181785.5, 89.77000000000001)
(1665184854.0, 89.75434782608697)
(1665188071.0, 89.70590551181103)
(1665191422.5, 89.83708333333334)
(1665194921.0, 89.96198347107438)
(1665198612.0, 90.0174074074074)
(1665214634.0, 90.00570175438597)
(1665230477.0, 89.65107142857143)
(1665233396.0, 89.88937007874016)
(1665235823.0, 89.83663793103449)
(1665238337.5, 90.01349206349207)
(1665240957.0, 90.00569105691056)
(1665243675.0, 90.0126923076923)
(1665246479.0, 89.9862385321101)
(1665249430.5, 89.95079365079366)
(1665252590.0, 90.0062015503876)
(1665255880.5, 90.00333333333333)
(1665259318.5, 90.10695652173912)
(1665304748.5, 90.15454545454546)
(1665349626.5, 89.77830188679246)
(1665352006.5, 89.79464285714286)
(1665354309.5, 89.9452)
(1665356607.5, 89.90375)
(1665358918.0, 89.94153225806451)
(1665361303.5, 89.95503875968993)
