#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
354774:7893,07/01/22 01:44:47,212,212,0.000014491,0.000014311
354777:7894,07/01/22 05:25:18,160,160,0.000005449,0.000005386
354780:7895,07/01/22 08:31:19,31,0,0.000000005,0
354784:7895,07/01/22 08:43:16,292,281,0.000000038,0.000000036
354787:7895,07/01/22 10:36:28,373,373,0.000000036,0.000000036
355058:7916,07/05/22 02:13:00,350,350,0.000000054,0.000000054
355100:7920,07/05/22 16:47:25,283,279,0.000026348,0.000025569
355101:7920,07/05/22 18:37:01,33,31,0.000002615,0.000002447
355102:7920,07/05/22 18:49:44,23,20,0.000001578,0.000001191
355103:7920,07/05/22 18:58:38,49,43,0.000004653,0.000003837
355104:7920,07/05/22 19:17:22,34,28,0.000003325,0.000002563
355105:7920,07/05/22 19:30:33,35,29,0.000003395,0.000002681
355106:7920,07/05/22 19:44:01,34,27,0.000003262,0.000002401
355107:7920,07/05/22 19:56:53,36,29,0.000003443,0.000002705
355108:7920,07/05/22 20:10:31,41,34,0.000004003,0.000003167
355109:7920,07/05/22 20:26:15,35,29,0.000003481,0.000002725
355110:7920,07/05/22 20:39:39,34,28,0.000003366,0.000002686
355111:7920,07/05/22 20:52:47,33,28,0.000003250,0.000002616
355112:7920,07/05/22 21:06:00,33,27,0.000003226,0.000002523
355113:7920,07/05/22 21:18:45,33,27,0.000003309,0.000002493
355114:7920,07/05/22 21:31:31,7,4,0.000000709,0.000000002
355115:7920,07/05/22 21:33:56,6,1,0.000000608,0.000000002
355116:7920,07/05/22 21:35:59,7,5,0.000000711,0.000000002
355117:7920,07/05/22 21:39:25,39,34,0.000003894,0.000003278
355118:7920,07/05/22 21:55:00,31,27,0.000003130,0.000002571
355119:7920,07/05/22 22:07:48,31,27,0.000003107,0.000002595
355120:7920,07/05/22 22:20:31,33,27,0.000003278,0.000002514
355121:7920,07/05/22 22:33:16,42,35,0.000004131,0.000003343
355122:7920,07/05/22 22:49:16,34,28,0.000003479,0.000002763
355123:7920,07/05/22 23:02:21,33,27,0.000003354,0.000002535
