run:fill,placeholder,time,nls,ncms,delivered(/fb),recorded(/fb)
359751:8223,-999,1664802020,993,993,0.317204217,0.303855748
359762:8225,-999,1664838914,223,223,0.083234417,0.07960411099999999
359763:8225,-999,1664844498,458,458,0.156282389,0.15033860300000002
359764:8225,-999,1664856326,1084,1084,0.263611535,0.254408218
359776:8226,-999,1664890549,329,329,0.00021109200000000002,0.000210229
359806:8228,-999,1664923348,369,369,0.149807461,0.143007536
359808:8228,-999,1664932448,46,46,0.017719073000000002,0.016455101
359809:8228,-999,1664933578,43,43,0.016190235,0.015207283
359810:8228,-999,1664934668,183,183,0.065291613,0.061839285
359812:8228,-999,1664939340,227,227,0.073786929,0.070240582
359814:8228,-999,1664945350,366,366,0.104234975,0.10048477199999999
359870:8230,-999,1664996797,6,6,0.0024142639999999997,0.002218061
359871:8230,-999,1664997235,228,228,0.103901065,0.097958073
359887:8232,-999,1665032900,473,473,0.00031367,0.000312442
359899:8233,-999,1665051921,287,287,0.008334341,0.007732093000000001
359903:8233,-999,1665059283,12,12,0.000315918,0.000301668
359998:8236,-999,1665159488,1892,1892,0.597604966,0.5758176779999999
360017:8238,-999,1665228108,40,40,0.012133141,0.011509433000000001
360019:8238,-999,1665230017,1488,1488,0.48218503700000004,0.465555919
360075:8245,-999,1665348093,758,758,0.30871621,0.29541369300000003
360090:8245,-999,1665375643,794,794,0.20569288300000002,0.19908240600000002
360116:8247,-999,1665410978,356,356,0.144223275,0.137741416
360125:8247,-999,1665423817,188,188,0.071486492,0.067838041
360126:8247,-999,1665428475,369,369,0.12474064900000001,0.11931957300000001
360127:8247,-999,1665437215,201,201,0.05994161,0.057739014000000005
360128:8247,-999,1665441982,163,163,0.04538364,0.043967728
360130:8247,-999,1665449469,5,5,0.00127916,0.0008614810000000001
360131:8247,-999,1665449773,378,378,0.089937746,0.08737071699999999
360141:8248,-999,1665466296,751,751,0.303972432,0.289861706
360224:8253,-999,1665536933,217,217,0.08371196,0.07749395099999999
360225:8253,-999,1665542537,355,355,0.14768943199999998,0.137616835
360295:8260,-999,1665629103,1439,1439,0.540039634,0.516225455
360296:8260,-999,1665662856,519,519,0.136027219,0.131649125
360327:8263,-999,1665707183,352,352,0.138034398,0.131807126
360390:8267,-999,1665779379,71,71,0.027213612999999998,0.026124683
360391:8267,-999,1665781297,4,4,0.0017161420000000001,0.001518744
360392:8267,-999,1665781816,61,61,0.025356813,0.023957242000000004
360393:8267,-999,1665783389,124,124,0.052177632,0.048985637
360400:8269,-999,1665802059,80,80,0.024828347999999997,0.023714826
360413:8272,-999,1665826238,90,90,0.037295905,0.035547348
360428:8273,-999,1665838982,74,74,0.029381282,0.027455929
360432:8273,-999,1665842012,28,28,0.011865408999999999,0.011139027
360435:8273,-999,1665843334,48,48,0.019968838,0.018669
360437:8273,-999,1665845140,40,40,0.016873563,0.016219057
360438:8273,-999,1665846314,6,6,0.002509526,0.0023505410000000003
360458:8274,-999,1665865476,184,184,0.068130152,0.06428067700000001
360459:8274,-999,1665870423,1332,1332,0.474696725,0.45518258799999994
360460:8274,-999,1665901738,1077,1077,0.239835274,0.232248838
360486:8276,-999,1665939699,278,278,0.11404411099999999,0.107828935
360490:8276,-999,1665950330,1177,1177,0.381801625,0.36498692200000005
360491:8276,-999,1665978238,176,176,0.041058394,0.03967483
360737:8289,-999,1666175746,18,18,0.0008641030000000001,0.0008482569999999999
360761:8293,-999,1666191778,157,157,0.009215753,0.009040481
360794:8295,-999,1666223852,677,677,0.278749914,0.26580724699999997
360795:8295,-999,1666239912,395,395,0.148347163,0.142314079
360797:8295,-999,1666262681,5,5,0.001364346,0.001331782
360820:8297,-999,1666273739,885,885,0.36354003100000004,0.345197319
360825:8297,-999,1666297080,358,358,0.118869492,0.11319838800000001
360826:8297,-999,1666305605,118,118,0.035489776,0.033545051
360856:8299,-999,1666350775,56,56,0.003141094,0.003046684
360874:8301,-999,1666371240,52,52,0.003118038,0.0030157390000000004
360876:8301,-999,1666373544,341,341,0.02150426,0.020961668
360887:8302,-999,1666391853,123,123,0.046018635999999995,0.042669329000000006
360888:8302,-999,1666394919,289,289,0.12750824300000002,0.121034559
360889:8302,-999,1666402011,36,36,0.015806569,0.008549121
360890:8302,-999,1666403005,504,504,0.196489579,0.188094872
360892:8302,-999,1666415571,296,296,0.095857833,0.092324484
360895:8302,-999,1666424059,700,700,0.180557544,0.175331545
360919:8304,-999,1666454531,798,798,0.33799863,0.320455648
360920:8304,-999,1666473198,4,4,0.0015978029999999999,0.0013613310000000001
360921:8304,-999,1666473455,218,218,0.082272681,0.078626577
360927:8305,-999,1666487231,1892,1892,0.685332796,0.653570576
360941:8306,-999,1666539628,72,72,0.026202597,0.024774096000000002
360942:8306,-999,1666541648,344,344,0.148741878,0.140452648
360945:8306,-999,1666550757,91,91,0.039214998,0.037027297
360946:8306,-999,1666553266,364,364,0.147489584,0.14050921800000002
360948:8306,-999,1666562536,119,119,0.042838873,0.041029674
360950:8306,-999,1666565624,716,716,0.217123984,0.20855105300000001
360951:8306,-999,1666582623,190,190,0.045961028,0.044294340999999994
360991:8307,-999,1666607160,230,230,0.027536143,0.026559006
360992:8307,-999,1666612696,99,99,0.010985449,0.010715993
361020:8309,-999,1666631124,399,399,0.026874136,0.025566229
361044:8311,-999,1666656239,125,125,0.048625967,0.045717848
361045:8311,-999,1666659310,945,945,0.393792986,0.37420271299999996
361050:8311,-999,1666682694,10,10,0.003490903,0.0031350279999999998
361052:8311,-999,1666683276,65,65,0.021734932999999998,0.020606209
361054:8311,-999,1666685203,461,461,0.136341685,0.130587943
361083:8312,-999,1666707892,54,54,0.007544232,0.00708849
361091:8313,-999,1666716042,381,381,0.05089923,0.049382579
361105:8314,-999,1666740951,408,408,0.147798787,0.14027103800000001
361106:8314,-999,1666750870,31,31,0.011296438,0.010513598999999998
361107:8314,-999,1666751730,156,156,0.057795901,0.054759989
361108:8314,-999,1666755490,7,7,0.002652651,0.002061992
361110:8314,-999,1666755822,197,197,0.068884368,0.06490689599999999
361188:8315,-999,1666809107,141,141,0.060622643,0.054129124
361193:8315,-999,1666812463,29,29,0.012391055,0.010965603
361195:8315,-999,1666813293,20,20,0.008696332,0.00786945
361197:8315,-999,1666814315,2147,2147,0.7334790090000001,0.67759967
361223:8316,-999,1666876912,695,695,0.294711132,0.270603821
361239:8317,-999,1666902603,1056,1056,0.442140785,0.420581331
361240:8317,-999,1666927371,1015,1015,0.300482566,0.289529036
361272:8319,-999,1666961975,125,125,0.052070028,0.049691618
361280:8319,-999,1666965419,267,267,0.115310632,0.109395166
361283:8319,-999,1666971967,26,26,0.011233001999999999,0.010569163000000001
361284:8319,-999,1666972879,36,36,0.01534211,0.014654333
361297:8320,-999,1666987765,933,933,0.39624597899999997,0.37603013700000004
361303:8321,-999,1667023421,2240,2240,0.8014344259999999,0.763467956
361318:8322,-999,1667085857,457,457,0.195973233,0.18672022600000002
361319:8322,-999,1667096633,162,162,0.070810027,0.068127835
361320:8322,-999,1667101366,382,382,0.153933603,0.147433843
361333:8324,-999,1667124383,302,302,0.125371336,0.11955387599999999
361361:8327,-999,1667183735,46,46,0.018411752,0.014922628
361362:8327,-999,1667184988,31,31,0.00774977,0.00633099
361363:8327,-999,1667185821,27,27,0.01108629,0.00793313
361365:8327,-999,1667190489,489,489,0.21291765199999999,0.191586282
361366:8327,-999,1667202031,201,201,0.077946933,0.073492105
361400:8330,-999,1667236830,456,456,0.192093753,0.182377034
361417:8331,-999,1667276684,1622,1622,0.6361570870000001,0.608633064
361443:8333,-999,1667326292,2274,2274,0.803395127,0.771169125
361468:8334,-999,1667388909,1881,1881,0.735200712,0.696631569
361475:8335,-999,1667441872,1231,1231,0.503624974,0.480825669
361512:8342,-999,1667508156,1537,1537,0.600887504,0.5758403910000001
361569:8345,-999,1667599079,564,564,0.237080691,0.226224268
361573:8345,-999,1667612913,305,305,0.127506069,0.121532869
361579:8347,-999,1667637082,863,863,0.36101003,0.342180649
361580:8347,-999,1667657580,422,422,0.146208966,0.140259309
361957:8385,-999,1668238493,1163,1163,0.333436503,0.323771436
361971:8387,-999,1668275497,2343,2343,0.8380501509999999,0.8037794620000001
361989:8389,-999,1668349001,114,114,0.04382034,0.041308701
361990:8389,-999,1668351788,204,204,0.088003175,0.08415725199999999
361994:8389,-999,1668357563,116,116,0.050341982,0.047399399
362058:8395,-999,1668441657,171,171,0.067178222,0.061779812999999996
362059:8395,-999,1668445779,63,63,0.027062699,0.025326723
362060:8395,-999,1668447557,84,84,0.036658439,0.035048336
362061:8395,-999,1668449774,314,314,0.135800194,0.12773337
362062:8395,-999,1668457250,207,207,0.08854593699999999,0.08345095799999999
362063:8395,-999,1668462385,86,86,0.034246017999999996,0.032763131
362064:8395,-999,1668467716,973,973,0.288038377,0.27799908100000004
362087:8398,-999,1668514052,145,145,0.063964823,0.060412714000000006
362091:8398,-999,1668517653,1418,1418,0.520131211,0.49620991799999997
362104:8399,-999,1668561470,115,115,0.043028024000000005,0.041085542
362105:8399,-999,1668564438,179,179,0.07677399,0.073123214
362106:8399,-999,1668568870,78,78,0.033380821,0.032288451
362107:8399,-999,1668570897,785,785,0.32959203,0.313860982
362148:8401,-999,1668604734,720,720,0.303143003,0.288720985
362153:8401,-999,1668621940,140,140,0.06088853,0.056974819
362154:8401,-999,1668625472,784,784,0.276255421,0.264980179
362159:8402,-999,1668651746,7,7,0.0019151489999999999,0.0016628320000000002
362161:8402,-999,1668652611,120,120,0.051050559,0.048928735
362163:8402,-999,1668655663,65,65,0.027997266,0.026361137000000003
362166:8402,-999,1668657309,331,331,0.142959132,0.137306173
362167:8402,-999,1668665313,646,646,0.266380908,0.255683413
362437:8456,-999,1669031592,31,31,0.011505452,0.009766
362439:8456,-999,1669036121,1374,1374,0.528865965,0.506073917
362597:8471,-999,1669238190,139,139,0.05978404,0.057671469
362614:8474,-999,1669272041,153,153,0.069212131,0.06425507
362615:8474,-999,1669275804,149,149,0.071404259,0.066283169
362616:8474,-999,1669279549,351,351,0.169615135,0.158203139
362617:8474,-999,1669288036,244,244,0.113832507,0.10772152900000001
362618:8474,-999,1669293886,274,274,0.10828789400000001,0.10002997599999999
362653:8484,-999,1669362792,266,266,0.107975154,0.10203385599999999
362654:8484,-999,1669369199,26,26,0.011470235,0.010606216000000002
362655:8484,-999,1669370415,333,333,0.147807042,0.14046092
362657:8484,-999,1669379555,198,198,0.08368922,0.080388442
362695:8489,-999,1669423294,334,334,0.136457491,0.128510059
362696:8489,-999,1669431131,1711,1711,0.6094275889999999,0.585028574
362698:8489,-999,1669471814,374,374,0.083703241,0.08085740200000001
362720:8491,-999,1669503542,898,898,0.37262784299999996,0.355541625
362727:8491,-999,1669526171,4,4,0.00160338,0.001411172
362728:8491,-999,1669526494,388,388,0.15060701699999998,0.143542102
362757:8496,-999,1669587286,62,62,0.021364208,0.019510115
362758:8496,-999,1669588987,205,205,0.087135713,0.082564202
362760:8496,-999,1669594565,728,728,0.29560473800000003,0.28229408100000003
